input_text,output_text,label_space,label_verbalizer,verbalized_label,binary_preds
"Determine which option can be inferred from the given Sentence.  Sentence: Raised in [Queens] , he moved to Connecticut in his late 20s after eight years working in Manhattan as an apprentice at a printer and as a store detective in Times Square -- a job [he] said he hated . Options: A. [he] has the nationality [Queens] B. [he] died in the city [Queens] C. [he] lives in the city [Queens] D. [he] has no known relations to [Queens]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D']","{'A': 'per:origin', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'no_relation'}",per:cities_of_residence,
"Determine which option can be inferred from the given Sentence.  Sentence: As [Pakistani] journalist [Ahmed Rashid] has noted , '' incursions from Taliban-controlled Afghanistan into the three Central Asian republics of Tajikistan , Kyrgyzstan and Uzbekistan by Islamic militants from the Islamic Movement of Uzbekistan ( IMU ) are part of a wider strategic co-ordination with the Taliban ... . '' Options: A. [Ahmed Rashid] has the nationality [Pakistani] B. [Ahmed Rashid] lives in the country [Pakistani] C. [Ahmed Rashid] has no known relations to [Pakistani]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C']","{'A': 'per:origin', 'B': 'per:countries_of_residence', 'C': 'no_relation'}",per:origin,
"Determine which option can be inferred from the given Sentence.  Sentence: '' Directors have to look at CEO pay in terms of return on investment , just like they judge any other dollar they allocate , '' said [Nell Minow] , editor and co-founder of the [Corporate Library] . Options: A. [Corporate Library] has the high level member [Nell Minow] B. [Corporate Library] was founded by [Nell Minow] C. [Corporate Library] has shares hold in [Nell Minow] D. [Corporate Library] has no known relations to [Nell Minow]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D']","{'A': 'org:top_members/employees', 'B': 'org:founded_by', 'C': 'org:shareholders', 'D': 'no_relation'}",org:founded_by,
Determine which option can be inferred from the given Sentence.  Sentence: Reviewer 's Bio : [Wayne A. Holst] is a writer who teaches at the [University of Calgary] and at St. David 's United Church in Calgary . Options: A. [Wayne A. Holst] studied in [University of Calgary] B. [Wayne A. Holst] is the employee of [University of Calgary] C. [Wayne A. Holst] has no known relations to [University of Calgary]  Which option can be inferred from the given Sentence? Option:,B,"['A', 'B', 'C']","{'A': 'per:schools_attended', 'B': 'per:employee_of', 'C': 'no_relation'}",per:employee_of,
"Determine which option can be inferred from the given Sentence.  Sentence: [He] is also survived by his parents and a sister , Karen Lange , of Washington , and a brother , [Adam Lange] , of St Louis . Options: A. [He] has the alternate name [Adam Lange] B. [He] is the spouse of [Adam Lange] C. [He] has the parent [Adam Lange] D. [He] is the parent of [Adam Lange] E. [He] is the siblings of [Adam Lange] F. [He] is the other family member of [Adam Lange] G. [He] has no known relations to [Adam Lange]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'per:alternate_names', 'B': 'per:spouse', 'C': 'per:parents', 'D': 'per:children', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'no_relation'}",per:siblings,
"Determine which option can be inferred from the given Sentence.  Sentence: SAO PAULO 2010-06-30 17:57:12 UTC He said that Flamengo goalkeeper Bruno Fernandes de Sousa is suspected , along with two friends , of having [beaten] [Samudio] to death and hidden her body . Options: A. [Samudio] died because of [beaten] B. [Samudio] has no known relations to [beaten]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'per:cause_of_death', 'B': 'no_relation'}",per:cause_of_death,
"Determine which option can be inferred from the given Sentence.  Sentence: Using [PSIA] to Support Development Policy Operations [http://siteresources.worldbank.org/INTPSIA/Resources/GPN_August08_fin] ... This Good Practice Note provides advice to World Bank task teams on when , why and how to conduct PSIA as part of preparing a Development Policy Operation ( DPO ) . Options: A. [PSIA] has the website [http://siteresources.worldbank.org/INTPSIA/Resources/GPN_August08_fin] B. [PSIA] has no known relations to [http://siteresources.worldbank.org/INTPSIA/Resources/GPN_August08_fin]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'org:website', 'B': 'no_relation'}",org:website,
"Determine which option can be inferred from the given Sentence.  Sentence: [Baldino] was born May 13 , 1953 , and grew up in [New Jersey] and Pennsylvania . Options: A. [Baldino] was born in the state or province [New Jersey] B. [Baldino] lives in the state or province [New Jersey] C. [Baldino] died in the state or province [New Jersey] D. [Baldino] has no known relations to [New Jersey]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D']","{'A': 'per:stateorprovince_of_birth', 'B': 'per:stateorprovinces_of_residence', 'C': 'per:stateorprovince_of_death', 'D': 'no_relation'}",per:stateorprovinces_of_residence,
"Determine which option can be inferred from the given Sentence.  Sentence: I dress good , am clean-shaven , bathe , touch of cologne -- yet 30 million women rejected me , '' wrote [George Sodini] in a blog that he kept while preparing for this week 's shooting in a [Pennsylvania] gym in which he killed three women , wounded nine others and then killed himself . Options: A. [George Sodini] was born in the state or province [Pennsylvania] B. [George Sodini] lives in the state or province [Pennsylvania] C. [George Sodini] died in the state or province [Pennsylvania] D. [George Sodini] has no known relations to [Pennsylvania]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D']","{'A': 'per:stateorprovince_of_birth', 'B': 'per:stateorprovinces_of_residence', 'C': 'per:stateorprovince_of_death', 'D': 'no_relation'}",per:stateorprovince_of_death,
Determine which option can be inferred from the given Sentence.  Sentence: It sold [ALICO] to [MetLife Inc] for $ 162 billion . Options: A. [ALICO] is also known as [MetLife Inc] B. [ALICO] has the member [MetLife Inc] C. [ALICO] is the member of [MetLife Inc] D. [ALICO] owns [MetLife Inc] E. [ALICO] has the parent company [MetLife Inc] F. [ALICO] has shares hold in [MetLife Inc] G. [ALICO] has no known relations to [MetLife Inc]  Which option can be inferred from the given Sentence? Option:,E,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:subsidiaries', 'E': 'org:parents', 'F': 'org:shareholders', 'G': 'no_relation'}",org:parents,
Determine which option can be inferred from the given Sentence.  Sentence: [PDA Virginia] is leading a national [PDA] campaign to pass HR 508 or similar legislation to expedite our withdrawal and begin a new diplomatic approach that can improve our safety and restore respect to the US . Options: A. [PDA] is the member of [PDA Virginia] B. [PDA] owns [PDA Virginia] C. [PDA] has a headquarter in the city [PDA Virginia] D. [PDA] has no known relations to [PDA Virginia]  Which option can be inferred from the given Sentence? Option:,B,"['A', 'B', 'C', 'D']","{'A': 'org:member_of', 'B': 'org:subsidiaries', 'C': 'org:city_of_headquarters', 'D': 'no_relation'}",org:subsidiaries,
Determine which option can be inferred from the given Sentence.  Sentence: [Benjamin Chertoff] < 25-year-old cousin of [Michael Chertoff] ; senior '' researcher '' for Popular Mechanics ¹ hit piece on 9-11 Truth Movement Options: A. [Benjamin Chertoff] has the alternate name [Michael Chertoff] B. [Benjamin Chertoff] is the spouse of [Michael Chertoff] C. [Benjamin Chertoff] has the parent [Michael Chertoff] D. [Benjamin Chertoff] is the parent of [Michael Chertoff] E. [Benjamin Chertoff] is the siblings of [Michael Chertoff] F. [Benjamin Chertoff] is the other family member of [Michael Chertoff] G. [Benjamin Chertoff] has no known relations to [Michael Chertoff]  Which option can be inferred from the given Sentence? Option:,F,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'per:alternate_names', 'B': 'per:spouse', 'C': 'per:parents', 'D': 'per:children', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'no_relation'}",per:other_family,
"Determine which option can be inferred from the given Sentence.  Sentence: But no federal regulation requires restaurant menus to list allergens , said Sheila Weiss , director of nutrition policy for the [National Restaurant Association] , based in [Washington] , D.C. . Options: A. [National Restaurant Association] is the member of [Washington] B. [National Restaurant Association] has a headquarter in the state or province [Washington] C. [National Restaurant Association] has no known relations to [Washington]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C']","{'A': 'org:member_of', 'B': 'org:stateorprovince_of_headquarters', 'C': 'no_relation'}",org:stateorprovince_of_headquarters,
"Determine which option can be inferred from the given Sentence.  Sentence: After the staffing firm [Hollister Inc] lost 20 of its [85] employees , it gave up nearly a third of its 3,750-square-foot Burlington office , allowing the property owner to put up a dividing wall to create a space for another tenant . Options: A. [Hollister Inc] has the number of employees [85] B. [Hollister Inc] has no known relations to [85]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'org:number_of_employees/members', 'B': 'no_relation'}",org:number_of_employees/members,
"Determine which option can be inferred from the given Sentence.  Sentence: Through it all , his allegiance to [Scientology] had been so strong that [he] paid the church before the government . Options: A. [he] has the religion [Scientology] B. [he] has no known relations to [Scientology]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'per:religion', 'B': 'no_relation'}",per:religion,
"Determine which option can be inferred from the given Sentence.  Sentence: [Lange] was born [July 23 , 1957] , in Illinois . Options: A. [Lange] has birthday on [July 23 , 1957] B. [Lange] died in the date [July 23 , 1957] C. [Lange] has no known relations to [July 23 , 1957]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C']","{'A': 'per:date_of_birth', 'B': 'per:date_of_death', 'C': 'no_relation'}",per:date_of_birth,
"Determine which option can be inferred from the given Sentence.  Sentence: [Sycamore Valley Ranch Co.] is a joint venture between [Jackson] and an affiliate of Colony Capital LLC , according to person with knowledge of the transaction who was not authorized to speak on the record and requested anonymity . Options: A. [Sycamore Valley Ranch Co.] has the high level member [Jackson] B. [Sycamore Valley Ranch Co.] was founded by [Jackson] C. [Sycamore Valley Ranch Co.] has shares hold in [Jackson] D. [Sycamore Valley Ranch Co.] has no known relations to [Jackson]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D']","{'A': 'org:top_members/employees', 'B': 'org:founded_by', 'C': 'org:shareholders', 'D': 'no_relation'}",org:shareholders,
"Determine which option can be inferred from the given Sentence.  Sentence: [Her] husband , [Brad Hagemo] , is an optometrist and Scientologist . Options: A. [Brad Hagemo] has the alternate name [Her] B. [Brad Hagemo] is the spouse of [Her] C. [Brad Hagemo] has the parent [Her] D. [Brad Hagemo] is the parent of [Her] E. [Brad Hagemo] is the siblings of [Her] F. [Brad Hagemo] is the other family member of [Her] G. [Brad Hagemo] has no known relations to [Her]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'per:alternate_names', 'B': 'per:spouse', 'C': 'per:parents', 'D': 'per:children', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'no_relation'}",per:spouse,
"Determine which option can be inferred from the given Sentence.  Sentence: The [Black Leadership Forum] is an umbrella group of 36 civil rights organizations , including the NAACP and the [National Urban League] . Options: A. [National Urban League] is also known as [Black Leadership Forum] B. [National Urban League] has the member [Black Leadership Forum] C. [National Urban League] is the member of [Black Leadership Forum] D. [National Urban League] owns [Black Leadership Forum] E. [National Urban League] has the parent company [Black Leadership Forum] F. [National Urban League] has shares hold in [Black Leadership Forum] G. [National Urban League] has no known relations to [Black Leadership Forum]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:subsidiaries', 'E': 'org:parents', 'F': 'org:shareholders', 'G': 'no_relation'}",org:member_of,
"Determine which option can be inferred from the given Sentence.  Sentence: Be flexible , said Kip Hollister , chief executive of [Hollister Inc.] , a staffing firm in [Boston] . Options: A. [Hollister Inc.] has a headquarter in the city [Boston] B. [Hollister Inc.] has no known relations to [Boston]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'org:city_of_headquarters', 'B': 'no_relation'}",org:city_of_headquarters,
"Determine which option can be inferred from the given Sentence.  Sentence: He attended [Princeton University] and then the University of California , Berkeley , where [he] received a Ph.D. in 1987 and was promptly hired as a professor . Options: A. [he] studied in [Princeton University] B. [he] is the employee of [Princeton University] C. [he] has no known relations to [Princeton University]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C']","{'A': 'per:schools_attended', 'B': 'per:employee_of', 'C': 'no_relation'}",per:schools_attended,
"Determine which option can be inferred from the given Sentence.  Sentence: The other two suspects are Luiz Henrique Romao , a friend of Souza , and Luiz Aparecido Santos , a former police detective who , according to Moreira , strangled [Samudio] to death [last month] . Options: A. [Samudio] has birthday on [last month] B. [Samudio] died in the date [last month] C. [Samudio] has no known relations to [last month]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C']","{'A': 'per:date_of_birth', 'B': 'per:date_of_death', 'C': 'no_relation'}",per:date_of_death,
Determine which option can be inferred from the given Sentence.  Sentence: The [ADF] is a [Muslim] rebel group that claimed to fight for equal rights for Muslims in Uganda but was driven out of the country in 2001 and has since been based in eastern Democratic Republic of Congo . Options: A. [ADF] has political affiliation with [Muslim] B. [ADF] has no known relations to [Muslim]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B']","{'A': 'org:political/religious_affiliation', 'B': 'no_relation'}",org:political/religious_affiliation,
"Determine which option can be inferred from the given Sentence.  Sentence: The [Third Guard Division] , founded in [1941] , has participated in more than 2,000 major battles and operations . Options: A. [Third Guard Division] was founded in [1941] B. [Third Guard Division] dissolved in [1941] C. [Third Guard Division] has no known relations to [1941]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C']","{'A': 'org:founded', 'B': 'org:dissolved', 'C': 'no_relation'}",org:founded,
"Determine which option can be inferred from the given Sentence.  Sentence: [OANA] members include , to name just a few , Australia 's AAP , China 's Xinhua , India 's PTI , Indonesia 's [ANTARA] , Iran 's IRNA , Japan 's Kyodo and Jiji Press , Pakistan 's PPI and APP , Kazakhstan 's Kazinform , Kuwait 's KUNA , Mongolia 's MONTSAME , the Philippines ' PNA , Russia 's Itar-Tass and RIA , Saudi Arabia 's SPA , the Republic of Korea 's Yonhap , and Turkey 's Anadolu . Options: A. [OANA] is also known as [ANTARA] B. [OANA] has the member [ANTARA] C. [OANA] is the member of [ANTARA] D. [OANA] owns [ANTARA] E. [OANA] has the parent company [ANTARA] F. [OANA] has shares hold in [ANTARA] G. [OANA] has no known relations to [ANTARA]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:subsidiaries', 'E': 'org:parents', 'F': 'org:shareholders', 'G': 'no_relation'}",org:members,
"Determine which option can be inferred from the given Sentence.  Sentence: The footprint was found on a bathroom rug in the house in Perugia , central [Italy] , where [Meredith Kercher] was killed in November 2007 . Options: A. [Meredith Kercher] was born in the country [Italy] B. [Meredith Kercher] has the nationality [Italy] C. [Meredith Kercher] died in the country [Italy] D. [Meredith Kercher] lives in the country [Italy] E. [Meredith Kercher] has no known relations to [Italy]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E']","{'A': 'per:country_of_birth', 'B': 'per:origin', 'C': 'per:country_of_death', 'D': 'per:countries_of_residence', 'E': 'no_relation'}",per:country_of_death,
"Determine which option can be inferred from the given Sentence.  Sentence: [Andrew Lange] , an astrophysicist whose balloon-borne measurements of light left over from the Big Bang played a key role in elucidating the shape and nature of the universe , was found dead on Jan 22 in [Los Angeles] . Options: A. [Andrew Lange] was born in the city [Los Angeles] B. [Andrew Lange] died in the city [Los Angeles] C. [Andrew Lange] lives in the city [Los Angeles] D. [Andrew Lange] has no known relations to [Los Angeles]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D']","{'A': 'per:city_of_birth', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'no_relation'}",per:city_of_death,
"Determine which option can be inferred from the given Sentence.  Sentence: [Andrew E. Lange] was born in [Urbana] , Ill. , on July 23 , 1957 , the oldest son of Joan Lange , a school librarian , and Albert Lange , an architect , and grew up in Easton , Conn. . Options: A. [Andrew E. Lange] was born in the city [Urbana] B. [Andrew E. Lange] died in the city [Urbana] C. [Andrew E. Lange] lives in the city [Urbana] D. [Andrew E. Lange] has no known relations to [Urbana]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'per:city_of_birth', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'no_relation'}",per:city_of_birth,
"Determine which option can be inferred from the given Sentence.  Sentence: Although her family was from Arkansas , [she] was born in [Washington] state , where her father was working on a construction project . Options: A. [she] was born in the state or province [Washington] B. [she] lives in the state or province [Washington] C. [she] died in the state or province [Washington] D. [she] has no known relations to [Washington]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'per:stateorprovince_of_birth', 'B': 'per:stateorprovinces_of_residence', 'C': 'per:stateorprovince_of_death', 'D': 'no_relation'}",per:stateorprovince_of_birth,
Determine which option can be inferred from the given Sentence.  Sentence: [New Fabris] closed down [June 16] . Options: A. [New Fabris] was founded in [June 16] B. [New Fabris] dissolved in [June 16] C. [New Fabris] has no known relations to [June 16]  Which option can be inferred from the given Sentence? Option:,B,"['A', 'B', 'C']","{'A': 'org:founded', 'B': 'org:dissolved', 'C': 'no_relation'}",org:dissolved,
"Determine which option can be inferred from the given Sentence.  Sentence: After more than 20 years of wearing the same long hairstyle , silver-tressed [Ponce Kiah Marchelle Heloise Cruse Evans] , known simply as [Heloise] , has a new ' do for the New Year . Options: A. [Heloise] has the alternate name [Ponce Kiah Marchelle Heloise Cruse Evans] B. [Heloise] is the spouse of [Ponce Kiah Marchelle Heloise Cruse Evans] C. [Heloise] has the parent [Ponce Kiah Marchelle Heloise Cruse Evans] D. [Heloise] is the parent of [Ponce Kiah Marchelle Heloise Cruse Evans] E. [Heloise] is the siblings of [Ponce Kiah Marchelle Heloise Cruse Evans] F. [Heloise] is the other family member of [Ponce Kiah Marchelle Heloise Cruse Evans] G. [Heloise] has no known relations to [Ponce Kiah Marchelle Heloise Cruse Evans]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'per:alternate_names', 'B': 'per:spouse', 'C': 'per:parents', 'D': 'per:children', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'no_relation'}",per:alternate_names,
"Determine which option can be inferred from the given Sentence.  Sentence: A spokesman for Chongqing Municipal Higher People 's Court said they would also go over the appeals made by four other appellants , namely , Wen 's wife Zhou Xiaoya , as well as three other former police officers of Huang Daiqiang , [Zhao Liming] and [Chen Tao] . Options: A. [Chen Tao] has the alternate name [Zhao Liming] B. [Chen Tao] is the spouse of [Zhao Liming] C. [Chen Tao] has the parent [Zhao Liming] D. [Chen Tao] is the parent of [Zhao Liming] E. [Chen Tao] is the siblings of [Zhao Liming] F. [Chen Tao] is the other family member of [Zhao Liming] G. [Chen Tao] has no known relations to [Zhao Liming]  Which option can be inferred from the given Sentence? Option:",G,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'per:alternate_names', 'B': 'per:spouse', 'C': 'per:parents', 'D': 'per:children', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'no_relation'}",no_relation,
"Determine which option can be inferred from the given Sentence.  Sentence: [Vladimir Ladyzhenskiy] , an [amateur wrestler] who was in his 60s , was pronounced dead late Saturday after he collapsed alongside reigning champion Timo Kaukonen of Finland roughly six minutes into the final round . Options: A. [Vladimir Ladyzhenskiy] is a [amateur wrestler] B. [Vladimir Ladyzhenskiy] has no known relations to [amateur wrestler]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'per:title', 'B': 'no_relation'}",per:title,
"Determine which option can be inferred from the given Sentence.  Sentence: '' As major energy producers and consumers , [China] and the United States are facing such challenges as environmental pollution and climate change , '' Zhang Guobao , director of China 's [National Energy Administration] ( NEA ) , said on the sidelines of the China-US Economic and Strategic Dialogue , which started on Monday . Options: A. [National Energy Administration] has the member [China] B. [National Energy Administration] is the member of [China] C. [National Energy Administration] has the parent company [China] D. [National Energy Administration] has a headquarter in the country [China] E. [National Energy Administration] has no known relations to [China]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:members', 'B': 'org:member_of', 'C': 'org:parents', 'D': 'org:country_of_headquarters', 'E': 'no_relation'}",org:country_of_headquarters,
"Determine which option can be inferred from the given Sentence.  Sentence: The ad Nationwide plans to run during the Feb. 4 Super Bowl national football championship amounts to a '' strong and direct insult to the 12.8 million Americans who work in the restaurant industry , '' [National Restaurant Association] President and Chief Executive Steven Anderson wrote in a letter to Nationwide CEO [Jerry Jurgensen] . Options: A. [National Restaurant Association] has the high level member [Jerry Jurgensen] B. [National Restaurant Association] was founded by [Jerry Jurgensen] C. [National Restaurant Association] has shares hold in [Jerry Jurgensen] D. [National Restaurant Association] has no known relations to [Jerry Jurgensen]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'org:top_members/employees', 'B': 'org:founded_by', 'C': 'org:shareholders', 'D': 'no_relation'}",org:top_members/employees,
"Determine which option can be inferred from the given Sentence.  Sentence: '' I learn from students and I challenge them , '' says [Heloise] , 58 , who took over the family hints business when her mother , also named [Heloise] , died in 1977 . Options: A. [Heloise] has the alternate name [Heloise] B. [Heloise] is the spouse of [Heloise] C. [Heloise] has the parent [Heloise] D. [Heloise] is the parent of [Heloise] E. [Heloise] is the siblings of [Heloise] F. [Heloise] is the other family member of [Heloise] G. [Heloise] has no known relations to [Heloise]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'per:alternate_names', 'B': 'per:spouse', 'C': 'per:parents', 'D': 'per:children', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'no_relation'}",per:parents,
