Index,Output,Golden,input_text,output_text,label_space,label_verbalizer,verbalized_label
10,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: The Baron 's Cup 2010 horse racing event , co-organized by the [Myanmar Equestrian Federation] ( MEF ) and Myanmar Brewery Ltd , will be held this month to boost the country 's equestrian sport , according to the [MEF] Friday . Options: A. [Myanmar Equestrian Federation] is also known as [MEF] B. [Myanmar Equestrian Federation] has the member [MEF] C. [Myanmar Equestrian Federation] is the member of [MEF] D. [Myanmar Equestrian Federation] has shares hold in [MEF] E. [Myanmar Equestrian Federation] has no known relations to [MEF]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",org:alternate_names
11,C,B,"Determine which option can be inferred from the given Sentence.  Sentence: Two of [Jupp] 's managers at the government 's military science service -- the Defense , Scientific and Technology Laboratory -- were charged with [manslaughter] following an inquiry into the blast . Options: A. [Jupp] died because of [manslaughter] B. [Jupp] is convicted of [manslaughter] C. [Jupp] has no known relations to [manslaughter]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C']","{'A': 'per:cause_of_death', 'B': 'per:charges', 'C': 'no_relation'}",per:charges
12,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: The body of 39-year-old [Joseph Cerniglia] , whose restaurant experienced a renewal since the show , was found floating in the river on [Friday] . Options: A. [Joseph Cerniglia] died in the date [Friday] B. [Joseph Cerniglia] has birthday on [Friday] C. [Joseph Cerniglia] has the age [Friday] D. [Joseph Cerniglia] died because of [Friday] E. [Joseph Cerniglia] has no known relations to [Friday]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'per:date_of_death', 'B': 'per:date_of_birth', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'no_relation'}",per:date_of_death
13,B,A,"Determine which option can be inferred from the given Sentence.  Sentence: Nielsen said James Finkelstein , who founded [Pluribus] this year with George Green and [Matthew Doull] , will serve as e5 's chairman . Options: A. [Pluribus] was founded by [Matthew Doull] B. [Pluribus] has the high level member [Matthew Doull] C. [Pluribus] has shares hold in [Matthew Doull] D. [Pluribus] has no known relations to [Matthew Doull]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",org:founded_by
14,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: [Italian] Red Cross worker [Eugenio Vagni] was freed by his kidnappers early Sunday in the restive southern Philippines , the military said . Options: A. [Eugenio Vagni] has the nationality [Italian] B. [Eugenio Vagni] died in the country [Italian] C. [Eugenio Vagni] is the employee of [Italian] D. [Eugenio Vagni] lives in the country [Italian] E. [Eugenio Vagni] was born in the city [Italian] F. [Eugenio Vagni] was born in the country [Italian] G. [Eugenio Vagni] was born in the state or province [Italian] H. [Eugenio Vagni] has no known relations to [Italian]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:origin', 'B': 'per:country_of_death', 'C': 'per:employee_of', 'D': 'per:countries_of_residence', 'E': 'per:city_of_birth', 'F': 'per:country_of_birth', 'G': 'per:stateorprovince_of_birth', 'H': 'no_relation'}",per:origin
15,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: Associated Press writer Oliver Teves contributed to this report ------ [Vagni] 's brother , [Francesco] , told reporters in Italy that '' there were moments that I believed he would never come back . '' Options: A. [Vagni] is the identity/pronoun of [Francesco] B. [Vagni] and [Francesco] are the same person C. [Vagni] is the parent of [Francesco] D. [Vagni] is the spouse of [Francesco] E. [Vagni] is the siblings of [Francesco] F. [Vagni] is the other family member of [Francesco] G. [Vagni] has the parent [Francesco] H. [Vagni] has no known relations to [Francesco]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:siblings
16,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: [China] earlier this month executed [Wen Qiang] , a former top Chongqing police and justice official at the centre of the scandal . Options: A. [Wen Qiang] lives in the country [China] B. [Wen Qiang] has the nationality [China] C. [Wen Qiang] is the employee of [China] D. [Wen Qiang] was born in the country [China] E. [Wen Qiang] died in the country [China] F. [Wen Qiang] lives in the city [China] G. [Wen Qiang] died in the city [China] H. [Wen Qiang] has no known relations to [China]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:countries_of_residence', 'B': 'per:origin', 'C': 'per:employee_of', 'D': 'per:country_of_birth', 'E': 'per:country_of_death', 'F': 'per:cities_of_residence', 'G': 'per:city_of_death', 'H': 'no_relation'}",per:country_of_death
17,A,A,Determine which option can be inferred from the given Sentence.  Sentence: Fu made the remarks on the 18th Annual Conference held Saturday by the [Chicago] - based [Association of Chinese-American Scientists and Engineers] ( ACSE ) . Options: A. [Association of Chinese-American Scientists and Engineers] has a branch in the city [Chicago] B. [Association of Chinese-American Scientists and Engineers] has the member [Chicago] C. [Association of Chinese-American Scientists and Engineers] has a branch in the state or province [Chicago] D. [Association of Chinese-American Scientists and Engineers] has a branch in the country [Chicago] E. [Association of Chinese-American Scientists and Engineers] has no known relations to [Chicago]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:city_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:country_of_branch', 'E': 'no_relation'}",org:city_of_branch
18,B,B,Determine which option can be inferred from the given Sentence.  Sentence: He died of [his] [injuries] six days later . Options: A. [his] is convicted of [injuries] B. [his] died because of [injuries] C. [his] has no known relations to [injuries]  Which option can be inferred from the given Sentence? Option:,B,"['A', 'B', 'C']","{'A': 'per:charges', 'B': 'per:cause_of_death', 'C': 'no_relation'}",per:cause_of_death
19,A,A,Determine which option can be inferred from the given Sentence.  Sentence: If you still have doubts about 911 please watch [Loose Change] at [www.loosechange911.com] Options: A. [Loose Change] has the website [www.loosechange911.com] B. [Loose Change] has no known relations to [www.loosechange911.com]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B']","{'A': 'org:website', 'B': 'no_relation'}",org:website
20,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: John Graham , a 55-year-old man from Canada , is accused of shooting [Aquash] in the head and leaving her to die on the Pine Ridge reservation in [South Dakota] . Options: A. [Aquash] lives in the state or province [South Dakota] B. [Aquash] is the employee of [South Dakota] C. [Aquash] was born in the state or province [South Dakota] D. [Aquash] died in the state or province [South Dakota] E. [Aquash] lives in the city [South Dakota] F. [Aquash] died in the city [South Dakota] G. [Aquash] was born in the country [South Dakota] H. [Aquash] was born in the city [South Dakota] I. [Aquash] has no known relations to [South Dakota]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']","{'A': 'per:stateorprovinces_of_residence', 'B': 'per:employee_of', 'C': 'per:stateorprovince_of_birth', 'D': 'per:stateorprovince_of_death', 'E': 'per:cities_of_residence', 'F': 'per:city_of_death', 'G': 'per:country_of_birth', 'H': 'per:city_of_birth', 'I': 'no_relation'}",per:stateorprovince_of_death
21,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Jackson Slim Brossy , legislative associate of the [nonpartisan] [National Congress of American Indians] , said the Indian vote -- which traditionally has been Democratic -- is up for grabs this year as Sens. Barack Obama and John McCain both try to woo it . Options: A. [National Congress of American Indians] has political affiliation with [nonpartisan] B. [National Congress of American Indians] has no known relations to [nonpartisan]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'org:political/religious_affiliation', 'B': 'no_relation'}",org:political/religious_affiliation
22,E,C,"Determine which option can be inferred from the given Sentence.  Sentence: In the sale of unit American Life Insurance Company ( [ALICO] ) to MetLife , Inc , [AIG] raised about 162 billion dollars , including about 72 billion dollars in cash . Options: A. [ALICO] is also known as [AIG] B. [ALICO] has the member [AIG] C. [ALICO] is the member of [AIG] D. [ALICO] has shares hold in [AIG] E. [ALICO] has no known relations to [AIG]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",org:member_of
23,B,B,Determine which option can be inferred from the given Sentence.  Sentence: Piedra testified he struggled to get [his] career going after graduating in 1998 from [Tufts University School of Dental Medicine] . Options: A. [his] is the employee of [Tufts University School of Dental Medicine] B. [his] studied in [Tufts University School of Dental Medicine] C. [his] has no known relations to [Tufts University School of Dental Medicine]  Which option can be inferred from the given Sentence? Option:,B,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",per:schools_attended
24,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: '' I was scared , '' [Paris] resident [Esther-Ethy Mamane] , 26 , said Wednesday at a news conference . Options: A. [Esther-Ethy Mamane] is the employee of [Paris] B. [Esther-Ethy Mamane] died in the city [Paris] C. [Esther-Ethy Mamane] lives in the city [Paris] D. [Esther-Ethy Mamane] was born in the city [Paris] E. [Esther-Ethy Mamane] has the nationality [Paris] F. [Esther-Ethy Mamane] lives in the state or province [Paris] G. [Esther-Ethy Mamane] lives in the country [Paris] H. [Esther-Ethy Mamane] has no known relations to [Paris]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:employee_of', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'per:city_of_birth', 'E': 'per:origin', 'F': 'per:stateorprovinces_of_residence', 'G': 'per:countries_of_residence', 'H': 'no_relation'}",per:cities_of_residence
25,D,B,"Determine which option can be inferred from the given Sentence.  Sentence: UK generation - you choose Electricity calculator When measured by volume , 65 % of Britain 's total waste mountain is stored at [Sellafield] , which is owned by the [NDA] but operated by BNG . Options: A. [NDA] is also known as [Sellafield] B. [NDA] has the member [Sellafield] C. [NDA] is the member of [Sellafield] D. [NDA] has shares hold in [Sellafield] E. [NDA] has no known relations to [Sellafield]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",org:members
26,D,F,"Determine which option can be inferred from the given Sentence.  Sentence: In November , [Wen] 's sister-in-law [Xie Caiping] , 46 , was sentenced to 18 years in prison on charges of running illegal gambling dens and drug dealing . Options: A. [Xie Caiping] is the identity/pronoun of [Wen] B. [Xie Caiping] and [Wen] are the same person C. [Xie Caiping] is the parent of [Wen] D. [Xie Caiping] is the spouse of [Wen] E. [Xie Caiping] is the siblings of [Wen] F. [Xie Caiping] is the other family member of [Wen] G. [Xie Caiping] has the parent [Wen] H. [Xie Caiping] has no known relations to [Wen]  Which option can be inferred from the given Sentence? Option:",F,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:other_family
27,B,A,"Determine which option can be inferred from the given Sentence.  Sentence: Federal immigration agents , a sheriffs posse and local cops were very proud this week for having teamed up to arrest 160 aliens at [Koch Foods] in Fairfield , [Ohio] . Options: A. [Koch Foods] has a branch in the state or province [Ohio] B. [Koch Foods] has a branch in the city [Ohio] C. [Koch Foods] has a branch in the country [Ohio] D. [Koch Foods] has the member [Ohio] E. [Koch Foods] has no known relations to [Ohio]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:stateorprovince_of_branch', 'B': 'org:city_of_branch', 'C': 'org:country_of_branch', 'D': 'org:members', 'E': 'no_relation'}",org:stateorprovince_of_branch
28,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: In a second statement read to the inquest jury , [Jupp] 's wife Pat said her husband appeared to have realized instantly his injuries would likely be fatal -- asking a colleague to call her and tell [her] he loved her . Options: A. [Jupp] is the identity/pronoun of [her] B. [Jupp] and [her] are the same person C. [Jupp] is the parent of [her] D. [Jupp] is the spouse of [her] E. [Jupp] is the siblings of [her] F. [Jupp] is the other family member of [her] G. [Jupp] has the parent [her] H. [Jupp] has no known relations to [her]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:spouse
29,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: The first $ 9 billion in proceeds from the sale will go toward redeeming preferred shares in [ALICO] held by the [Federal Reserve Bank of New York] , with the remainder to be used to reduce the New York Fed 's lending commitment to AIG . Options: A. [ALICO] is also known as [Federal Reserve Bank of New York] B. [ALICO] has the member [Federal Reserve Bank of New York] C. [ALICO] is the member of [Federal Reserve Bank of New York] D. [ALICO] has shares hold in [Federal Reserve Bank of New York] E. [ALICO] has no known relations to [Federal Reserve Bank of New York]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",org:shareholders
30,C,A,"Determine which option can be inferred from the given Sentence.  Sentence: [Aquash] , a member of the Mi ' kmaq tribe of [Nova Scotia] , was 30 when she died . Options: A. [Aquash] lives in the state or province [Nova Scotia] B. [Aquash] is the employee of [Nova Scotia] C. [Aquash] was born in the state or province [Nova Scotia] D. [Aquash] died in the state or province [Nova Scotia] E. [Aquash] lives in the city [Nova Scotia] F. [Aquash] died in the city [Nova Scotia] G. [Aquash] was born in the country [Nova Scotia] H. [Aquash] was born in the city [Nova Scotia] I. [Aquash] has no known relations to [Nova Scotia]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']","{'A': 'per:stateorprovinces_of_residence', 'B': 'per:employee_of', 'C': 'per:stateorprovince_of_birth', 'D': 'per:stateorprovince_of_death', 'E': 'per:cities_of_residence', 'F': 'per:city_of_death', 'G': 'per:country_of_birth', 'H': 'per:city_of_birth', 'I': 'no_relation'}",per:stateorprovinces_of_residence
31,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Founded in 1919 , the [National Restaurant Association] is the leading business association for the restaurant industry , which comprises 945,000 restaurant and food service outlets and a work force of nearly [13 million] employees . Options: A. [National Restaurant Association] has the number of employees [13 million] B. [National Restaurant Association] has the website [13 million] C. [National Restaurant Association] has no known relations to [13 million]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C']","{'A': 'org:number_of_employees/members', 'B': 'org:website', 'C': 'no_relation'}",org:number_of_employees/members
32,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: [Andrew Lange] , an astrophysicist whose balloon-borne measurements of light left over from the Big Bang played a key role in elucidating the shape and nature of the universe , was found dead on Jan. 22 in [Los Angeles] . Options: A. [Andrew Lange] is the employee of [Los Angeles] B. [Andrew Lange] died in the city [Los Angeles] C. [Andrew Lange] lives in the city [Los Angeles] D. [Andrew Lange] was born in the city [Los Angeles] E. [Andrew Lange] has the nationality [Los Angeles] F. [Andrew Lange] lives in the state or province [Los Angeles] G. [Andrew Lange] lives in the country [Los Angeles] H. [Andrew Lange] has no known relations to [Los Angeles]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:employee_of', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'per:city_of_birth', 'E': 'per:origin', 'F': 'per:stateorprovinces_of_residence', 'G': 'per:countries_of_residence', 'H': 'no_relation'}",per:city_of_death
33,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: [Lange] was born [July 23 , 1957] , in Illinois . Options: A. [Lange] died in the date [July 23 , 1957] B. [Lange] has birthday on [July 23 , 1957] C. [Lange] has the age [July 23 , 1957] D. [Lange] died because of [July 23 , 1957] E. [Lange] has no known relations to [July 23 , 1957]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D', 'E']","{'A': 'per:date_of_death', 'B': 'per:date_of_birth', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'no_relation'}",per:date_of_birth
34,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Her body later had to be exhumed , and she was eventually buried in [her] native [Nova Scotia] . Options: A. [her] lives in the state or province [Nova Scotia] B. [her] is the employee of [Nova Scotia] C. [her] was born in the state or province [Nova Scotia] D. [her] died in the state or province [Nova Scotia] E. [her] lives in the city [Nova Scotia] F. [her] died in the city [Nova Scotia] G. [her] was born in the country [Nova Scotia] H. [her] was born in the city [Nova Scotia] I. [her] has no known relations to [Nova Scotia]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']","{'A': 'per:stateorprovinces_of_residence', 'B': 'per:employee_of', 'C': 'per:stateorprovince_of_birth', 'D': 'per:stateorprovince_of_death', 'E': 'per:cities_of_residence', 'F': 'per:city_of_death', 'G': 'per:country_of_birth', 'H': 'per:city_of_birth', 'I': 'no_relation'}",per:stateorprovince_of_birth
35,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: The [Third Guard Division] , founded in [1941] , has participated in more than 2,000 major battles and operations . Options: A. [Third Guard Division] dissolved in [1941] B. [Third Guard Division] was founded in [1941] C. [Third Guard Division] has no known relations to [1941]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",org:founded
36,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: Andrew E. Lange was born in [Urbana] , Ill. , on July 23 , 1957 , the oldest son of Joan Lange , a school librarian , and [Albert Lange] , an architect , and grew up in Easton , Conn. . Options: A. [Albert Lange] is the employee of [Urbana] B. [Albert Lange] died in the city [Urbana] C. [Albert Lange] lives in the city [Urbana] D. [Albert Lange] was born in the city [Urbana] E. [Albert Lange] has the nationality [Urbana] F. [Albert Lange] lives in the state or province [Urbana] G. [Albert Lange] lives in the country [Urbana] H. [Albert Lange] has no known relations to [Urbana]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:employee_of', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'per:city_of_birth', 'E': 'per:origin', 'F': 'per:stateorprovinces_of_residence', 'G': 'per:countries_of_residence', 'H': 'no_relation'}",per:city_of_birth
37,A,A,Determine which option can be inferred from the given Sentence.  Sentence: [New Fabris] closed down [June 16] . Options: A. [New Fabris] dissolved in [June 16] B. [New Fabris] was founded in [June 16] C. [New Fabris] has no known relations to [June 16]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",org:dissolved
38,C,C,Determine which option can be inferred from the given Sentence.  Sentence: Retail research firm [ShopperTrak] expects Saturday to be the second-busiest holiday shopping day behind [the day after Thanksgiving] . Options: A. [ShopperTrak] dissolved in [the day after Thanksgiving] B. [ShopperTrak] was founded in [the day after Thanksgiving] C. [ShopperTrak] has no known relations to [the day after Thanksgiving]  Which option can be inferred from the given Sentence? Option:,C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
39,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: ABN Amro announced Thursday that it will nominate Royal Bank of Scotland ( RBS ) [executive] [Mark Fisher] as its new chairman , following the takeover of the Dutch lender by the RBS-led consortium . Options: A. [Mark Fisher] is a [executive] B. [Mark Fisher] has the religion [executive] C. [Mark Fisher] has the age [executive] D. [Mark Fisher] died because of [executive] E. [Mark Fisher] is convicted of [executive] F. [Mark Fisher] has no known relations to [executive]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",per:title
